id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
370,1,True,False,b'',"id: 350, experienced: True, age: 34","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 18:38:23.543983+00:00",1,34,True,57,12
647,1,True,False,b'',"id: 516, experienced: False, age: 45","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 13:18:58.198327+00:00",1,45,False,77,11
814,3,True,False,b'',"id: 596, experienced: True, age: 33","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 22:05:51.272591+00:00",1,33,True,79,9
531,1,True,False,b'',"id: 454, experienced: True, age: 40","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 06:48:22.965911+00:00",1,40,True,93,10
865,1,True,False,"b'I like doing the tasks individually, it seems easier to me.'","id: 621, experienced: True, age: 35","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-20 16:17:26.883695+00:00",1,35,True,96,11
329,2,True,False,b'',"id: 296, experienced: True, age: 43","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 15:12:45.750397+00:00",1,43,True,99,12
540,3,True,False,b'',"id: 459, experienced: True, age: 51","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 07:37:11.983314+00:00",1,51,True,104,7
605,1,True,False,b'',"id: 476, experienced: True, age: 46","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:55:51.423639+00:00",1,46,True,105,8
567,1,True,False,b'',"id: 471, experienced: True, age: 42","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 09:58:51.902544+00:00",1,42,True,107,9
752,4,True,False,b'',"id: 569, experienced: False, age: 47","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 06:04:00.269934+00:00",1,47,False,113,6
523,4,True,False,b'',"id: 452, experienced: True, age: 38","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 06:33:35.491302+00:00",1,38,True,117,10
314,1,True,False,b'',"id: 284, experienced: True, age: 45","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 14:00:08.935767+00:00",1,45,True,124,11
554,1,True,False,b'',"id: 465, experienced: True, age: 44","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 08:09:46.038820+00:00",1,44,True,129,12
788,1,True,False,b'',"id: 589, experienced: True, age: 52","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 10:33:16.535606+00:00",1,52,True,130,11
747,1,True,False,b'',"id: 566, experienced: False, age: 40","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 05:13:09.403054+00:00",1,40,False,132,10
622,1,True,False,b'',"id: 490, experienced: False, age: 50","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 11:07:26.837882+00:00",1,50,False,133,12
425,3,True,False,b'',"id: 402, experienced: True, age: 39","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 05:27:48.933633+00:00",1,39,True,133,11
435,2,True,False,b'',"id: 408, experienced: True, age: 37","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 07:21:05.099894+00:00",1,37,True,134,11
397,1,True,False,b'',"id: 373, experienced: True, age: 36","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 20:14:39.945478+00:00",1,36,True,134,9
330,2,True,False,b'',"id: 295, experienced: False, age: 50","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 15:13:34.562605+00:00",1,50,False,137,9
429,3,True,False,b'',"id: 406, experienced: True, age: 34","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 06:57:21.824464+00:00",1,34,True,147,10
464,3,True,False,b'',"id: 418, experienced: False, age: 32","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 11:26:28.427262+00:00",1,32,False,147,11
799,1,True,False,b'',"id: 591, experienced: False, age: 40","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 13:04:25.733854+00:00",1,40,False,149,11
811,1,True,False,b'',"id: 594, experienced: True, age: 50","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 19:54:19.149492+00:00",1,50,True,158,10
290,1,True,False,b'',"id: 265, experienced: True, age: 49","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 11:39:25.941442+00:00",1,49,True,158,10
535,1,True,False,b'',"id: 453, experienced: True, age: 51","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 07:21:12.513563+00:00",1,51,True,162,11
836,2,True,False,b'',"id: 603, experienced: True, age: 43","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-10 06:31:11.832693+00:00",1,43,True,164,11
382,2,True,False,b'',"id: 359, experienced: True, age: 44","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 19:09:33.969990+00:00",1,44,True,164,10
422,2,True,False,b'',"id: 399, experienced: False, age: 52","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 22:24:04.188548+00:00",1,52,False,165,10
374,1,True,False,b'',"id: 351, experienced: True, age: 40","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 18:47:58.906560+00:00",1,40,True,168,11
634,3,True,False,b'',"id: 508, experienced: False, age: 58","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 12:29:02.971003+00:00",1,58,False,169,11
