id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
541,3,True,False,b'',"id: 459, experienced: True, age: 51","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 07:39:39.615576+00:00",2,51,True,129,5
320,3,True,False,b'',"id: 292, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 14:47:23.209489+00:00",2,36,True,99,7
360,2,True,False,b'',"id: 340, experienced: True, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 17:50:31.213552+00:00",2,40,True,218,7
575,4,True,False,b'',"id: 455, experienced: True, age: 41","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:17:17.719209+00:00",2,41,True,52,8
257,1,True,False,b'',"id: 245, experienced: True, age: 42","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 09:20:35.437170+00:00",2,42,True,198,8
551,1,True,False,b'',"id: 462, experienced: True, age: 39","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 07:50:37.996845+00:00",2,39,True,174,8
820,4,True,False,b'',"id: 598, experienced: True, age: 44","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-09 08:18:29.450277+00:00",2,44,True,156,8
597,1,True,False,b'',"id: 476, experienced: True, age: 46","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:50:58.739084+00:00",2,46,True,186,8
615,2,True,False,b'',"id: 478, experienced: True, age: 54","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 11:01:54.218172+00:00",2,54,True,249,8
721,3,True,False,b'',"id: 556, experienced: True, age: 54","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-07 07:55:33.668305+00:00",2,54,True,492,8
746,1,True,False,b'',"id: 566, experienced: False, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 05:10:12.807494+00:00",2,40,False,151,8
480,1,True,False,b'',"id: 428, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 12:08:28.816603+00:00",2,36,True,159,8
525,4,True,False,b'',"id: 452, experienced: True, age: 38","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 06:35:38.727826+00:00",2,38,True,106,8
372,2,True,False,b'',"id: 351, experienced: True, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 18:44:34.282617+00:00",2,40,True,161,9
524,2,True,False,b'',"id: 451, experienced: True, age: 43","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 06:35:21.589073+00:00",2,43,True,220,9
835,2,True,False,b'',"id: 603, experienced: True, age: 43","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-10 06:27:50.165915+00:00",2,43,True,227,9
810,1,True,False,b'',"id: 594, experienced: True, age: 50","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 19:51:01.674382+00:00",2,50,True,217,9
424,2,True,False,b'',"id: 402, experienced: True, age: 39","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 05:24:43.611541+00:00",2,39,True,185,9
751,4,True,False,b'',"id: 569, experienced: False, age: 47","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 06:01:30.646521+00:00",2,47,False,142,9
818,2,True,False,b'',"id: 597, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-09 08:08:54.940680+00:00",2,34,True,351,9
673,3,True,False,b'',"id: 534, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 18:11:50.799770+00:00",2,36,True,264,9
323,2,True,False,b'',"id: 295, experienced: False, age: 50","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 15:07:12.986432+00:00",2,50,False,201,9
583,2,True,False,b'',"id: 474, experienced: True, age: 45","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:30:58.355734+00:00",2,45,True,126,9
530,2,True,False,b'',"id: 454, experienced: True, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 06:46:14.099573+00:00",2,40,True,129,9
503,2,True,False,b'',"id: 443, experienced: True, age: 56","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 16:10:29.218311+00:00",2,56,True,191,9
646,1,True,False,b'',"id: 516, experienced: False, age: 45","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 13:17:08.626462+00:00",2,45,False,90,9
363,1,True,False,b'',"id: 341, experienced: True, age: 47","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 17:58:07.767884+00:00",2,47,True,309,9
307,1,True,False,b'',"id: 277, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 13:04:30.925160+00:00",2,34,True,105,9
869,2,True,False,b'',"id: 624, experienced: True, age: 35","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-25 11:49:48.135830+00:00",2,35,True,159,10
311,2,True,False,b'',"id: 283, experienced: True, age: 54","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 13:56:16.154718+00:00",2,54,True,351,10
316,1,True,False,b'',"id: 284, experienced: True, age: 45","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 14:02:42.419175+00:00",2,45,True,132,10
369,2,True,False,b'',"id: 350, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 18:36:50.114609+00:00",2,34,True,103,10
399,1,True,False,b'',"id: 373, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 20:19:02.342805+00:00",2,36,True,116,10
