id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
331,2017-05-03 17:13:36.752400+00:00,"[4, 1, 2, 3]",3,3,167,61,228,4,4,8,"[15, 16, 17, 19]","[17, 18, 19, 20]","id: 313, experienced: False, age: -25","id: 3, title: Building geometry and metadata",-25,3
329,2017-05-03 17:04:30.532611+00:00,"[4, 1, 2, 3]",1,1,113,159,272,5,4,9,"[9, 10, 11, 12, 14]","[10, 11, 12, 13]","id: 313, experienced: False, age: -25","id: 1, title: Building geometry and metadata",-25,1
330,2017-05-03 17:09:21.335853+00:00,"[4, 1, 2, 3]",2,2,171,79,250,5,4,9,"[2, 3, 4, 5, 6]","[1, 2, 4, 5]","id: 313, experienced: False, age: -25","id: 2, title: Building geometry and metadata",-25,2
757,2017-05-08 08:42:13.747225+00:00,"[4, 3, 1, 2]",3,1,88,46,134,6,4,10,"[15, 16, 17, 18, 19, 20]","[16, 18, 19, 20]","id: 579, experienced: False, age: 19","id: 3, title: Building geometry and metadata",19,3
759,2017-05-08 08:47:02.641157+00:00,"[4, 3, 1, 2]",2,3,60,38,98,6,5,11,"[9, 10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 579, experienced: False, age: 19","id: 2, title: Building geometry and metadata",19,2
761,2017-05-08 08:57:42.705578+00:00,"[4, 1, 3, 2]",2,3,404,51,455,6,4,10,"[15, 16, 17, 18, 19, 20]","[15, 16, 18, 19]","id: 578, experienced: False, age: 19","id: 2, title: Building geometry and metadata",19,2
760,2017-05-08 08:48:55.928973+00:00,"[4, 1, 3, 2]",3,2,199,330,529,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 2, 4, 6]","id: 578, experienced: False, age: 19","id: 3, title: Building geometry and metadata",19,3
756,2017-05-08 08:39:42.082316+00:00,"[4, 1, 3, 2]",1,1,204,154,358,5,6,11,"[9, 10, 11, 12, 13]","[9, 10, 11, 12, 13, 14]","id: 578, experienced: False, age: 19","id: 1, title: Building geometry and metadata",19,1
758,2017-05-08 08:45:06.175651+00:00,"[4, 3, 1, 2]",1,2,73,64,137,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 579, experienced: False, age: 19","id: 1, title: Building geometry and metadata",19,1
696,2017-05-06 13:37:46.355279+00:00,"[4, 3, 1, 2]",2,3,88,163,251,5,5,10,"[15, 16, 17, 19, 20]","[15, 16, 17, 19, 20]","id: 551, experienced: False, age: 20","id: 2, title: Building geometry and metadata",20,2
694,2017-05-06 13:27:55.017042+00:00,"[4, 3, 1, 2]",3,1,156,209,365,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 551, experienced: False, age: 20","id: 3, title: Building geometry and metadata",20,3
695,2017-05-06 13:32:59.957113+00:00,"[4, 3, 1, 2]",1,2,116,137,253,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 551, experienced: False, age: 20","id: 1, title: Building geometry and metadata",20,1
767,2017-05-08 10:14:23.537741+00:00,"[4, 2, 1, 3]",2,1,90,95,185,4,5,9,"[15, 16, 17, 19]","[15, 16, 17, 18, 19]","id: 586, experienced: False, age: 20","id: 2, title: Building geometry and metadata",20,2
768,2017-05-08 10:16:53.010693+00:00,"[4, 2, 1, 3]",1,2,60,55,115,4,4,8,"[10, 11, 12, 14]","[9, 12, 13, 14]","id: 586, experienced: False, age: 20","id: 1, title: Building geometry and metadata",20,1
470,2017-05-04 12:55:14.913096+00:00,"[4, 2, 1, 3]",1,2,103,51,154,6,5,11,"[1, 2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]","id: 430, experienced: False, age: 20","id: 1, title: Building geometry and metadata",20,1
769,2017-05-08 10:18:52.063633+00:00,"[4, 2, 1, 3]",3,3,73,32,105,5,5,10,"[2, 3, 4, 5, 6]","[1, 2, 3, 5, 6]","id: 586, experienced: False, age: 20","id: 3, title: Building geometry and metadata",20,3
631,2017-05-05 13:10:18.039687+00:00,"[4, 3, 1, 2]",2,3,101,32,133,5,5,10,"[15, 16, 17, 19, 20]","[15, 17, 18, 19, 20]","id: 515, experienced: False, age: 20","id: 2, title: Building geometry and metadata",20,2
629,2017-05-05 13:04:10.362257+00:00,"[4, 3, 1, 2]",3,1,128,71,199,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 515, experienced: False, age: 20","id: 3, title: Building geometry and metadata",20,3
472,2017-05-04 12:59:25.252009+00:00,"[4, 2, 1, 3]",3,3,94,60,154,5,5,10,"[9, 10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 430, experienced: False, age: 20","id: 3, title: Building geometry and metadata",20,3
630,2017-05-05 13:07:24.566048+00:00,"[4, 3, 1, 2]",1,2,120,33,153,4,5,9,"[9, 10, 11, 12]","[9, 10, 12, 13, 14]","id: 515, experienced: False, age: 20","id: 1, title: Building geometry and metadata",20,1
