id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
707,2017-05-07 07:33:56.004532+00:00,"[4, 1, 2, 3]",4,0,149,146,295,0,1,1,[],[8],"id: 556, experienced: True, age: 54","id: 4, title: Training Task",54,4
327,2017-05-03 16:29:05.880545+00:00,"[4, 3, 1, 2]",4,0,44,71,115,1,0,1,[0],[],"id: 312, experienced: True, age: 29","id: 4, title: Training Task",29,4
440,2017-05-04 10:06:11.232394+00:00,"[4, 2, 3, 1]",4,0,30,49,79,0,1,1,[],[0],"id: 420, experienced: False, age: 22","id: 4, title: Training Task",22,4
389,2017-05-03 21:07:22.428571+00:00,"[4, 2, 1, 3]",4,0,38,68,106,1,1,2,[8],[0],"id: 374, experienced: True, age: 24","id: 4, title: Training Task",24,4
265,2017-05-03 11:33:24.417243+00:00,"[4, 2, 1, 3]",4,0,80,39,119,0,2,2,[],"[8, 0]","id: 264, experienced: False, age: 25","id: 4, title: Training Task",25,4
387,2017-05-03 21:02:30.718692+00:00,"[4, 1, 3, 2]",4,0,95,57,152,1,1,2,[0],[8],"id: 384, experienced: False, age: 25","id: 4, title: Training Task",25,4
162,2017-05-02 09:33:01.353117+00:00,"[4, 3, 2, 1]",4,0,17,36,53,1,1,2,[8],[0],"id: 212, experienced: False, age: 24","id: 4, title: Training Task",24,4
383,2017-05-03 20:27:21.373810+00:00,"[4, 1, 2, 3]",4,0,18,32,50,1,1,2,[8],[0],"id: 380, experienced: True, age: 38","id: 4, title: Training Task",38,4
732,2017-05-07 21:11:42.581204+00:00,"[4, 1, 3, 2]",4,0,20,75,95,1,1,2,[0],[0],"id: 565, experienced: True, age: 38","id: 4, title: Training Task",38,4
474,2017-05-04 13:24:40.091420+00:00,"[4, 1, 2, 3]",4,0,50,53,103,2,0,2,"[0, 8]",[],"id: 434, experienced: True, age: 30","id: 4, title: Training Task",30,4
358,2017-05-03 18:51:17.436433+00:00,"[4, 2, 1, 3]",4,0,57,78,135,1,1,2,[0],[8],"id: 356, experienced: False, age: 32","id: 4, title: Training Task",32,4
502,2017-05-05 04:30:06.402917+00:00,"[4, 1, 2, 3]",4,0,24,44,68,1,1,2,[8],[0],"id: 450, experienced: True, age: 23","id: 4, title: Training Task",23,4
303,2017-05-03 14:53:20.161907+00:00,"[4, 2, 1, 3]",4,0,25,51,76,1,1,2,[8],[8],"id: 294, experienced: False, age: 25","id: 4, title: Training Task",25,4
428,2017-05-04 08:54:32.176720+00:00,"[4, 1, 2, 3]",4,0,47,34,81,1,1,2,[0],[0],"id: 413, experienced: False, age: 52","id: 4, title: Training Task",52,4
405,2017-05-03 22:15:03.064439+00:00,"[4, 2, 1, 3]",4,0,204,55,259,2,0,2,"[0, 8]",[],"id: 399, experienced: False, age: 52","id: 4, title: Training Task",52,4
738,2017-05-08 05:55:14.062002+00:00,"[4, 3, 2, 1]",4,0,25,33,58,0,2,2,[],"[8, 0]","id: 569, experienced: False, age: 47","id: 4, title: Training Task",47,4
372,2017-05-03 19:47:53.587215+00:00,"[4, 3, 2, 1]",4,0,47,29,76,1,1,2,[8],[8],"id: 367, experienced: True, age: 56","id: 4, title: Training Task",56,4
268,2017-05-03 11:38:04.945128+00:00,"[4, 1, 2, 3]",4,0,15,34,49,0,2,2,[],"[8, 0]","id: 268, experienced: True, age: 28","id: 4, title: Training Task",28,4
299,2017-05-03 14:14:08.584208+00:00,"[4, 2, 1, 3]",4,0,52,42,94,2,1,3,"[0, 8]",[8],"id: 289, experienced: True, age: 32","id: 4, title: Training Task",32,4
802,2017-05-08 22:03:49.013388+00:00,"[4, 1, 3, 2]",4,0,15,17,32,1,2,3,[0],"[8, 0]","id: 596, experienced: True, age: 33","id: 4, title: Training Task",33,4
771,2017-05-08 10:22:28.392812+00:00,"[4, 3, 2, 1]",4,0,102,52,154,1,2,3,[0],"[8, 0]","id: 589, experienced: True, age: 52","id: 4, title: Training Task",52,4
711,2017-05-07 11:35:28.362700+00:00,"[4, 2, 3, 1]",4,0,21,58,79,2,1,3,"[0, 8]",[0],"id: 559, experienced: False, age: 22","id: 4, title: Training Task",22,4
253,2017-05-03 10:41:56.277581+00:00,"[4, 3, 1, 2]",4,0,51,93,144,1,2,3,[0],"[8, 0]","id: 255, experienced: False, age: 24","id: 4, title: Training Task",24,4
806,2017-05-09 08:02:21.355671+00:00,"[4, 2, 1, 3]",4,0,39,91,130,2,1,3,"[0, 8]",[0],"id: 597, experienced: True, age: 34","id: 4, title: Training Task",34,4
289,2017-05-03 13:25:57.148914+00:00,"[4, 3, 2, 1]",4,0,53,55,108,2,1,3,"[0, 8]",[0],"id: 281, experienced: False, age: 25","id: 4, title: Training Task",25,4
257,2017-05-03 11:17:26.080986+00:00,"[4, 2, 3, 1]",4,0,77,51,128,2,1,3,"[0, 8]",[0],"id: 261, experienced: False, age: 24","id: 4, title: Training Task",24,4
762,2017-05-08 09:19:37.520433+00:00,"[4, 1, 2, 3]",4,0,35,147,182,2,1,3,"[0, 8]",[8],"id: 584, experienced: False, age: 21","id: 4, title: Training Task",21,4
282,2017-05-03 12:55:11.069946+00:00,"[4, 3, 1, 2]",4,0,29,22,51,2,1,3,"[0, 8]",[0],"id: 277, experienced: True, age: 34","id: 4, title: Training Task",34,4
281,2017-05-03 12:54:25.391390+00:00,"[4, 3, 2, 1]",4,0,6,48,54,1,2,3,[0],"[8, 0]","id: 278, experienced: True, age: 46","id: 4, title: Training Task",46,4
273,2017-05-03 12:15:29.221554+00:00,"[4, 2, 3, 1]",4,0,45,22,67,1,2,3,[0],"[8, 0]","id: 270, experienced: True, age: 27","id: 4, title: Training Task",27,4
798,2017-05-08 19:46:22.877508+00:00,"[4, 2, 1, 3]",4,0,36,68,104,2,1,3,"[0, 8]",[0],"id: 594, experienced: True, age: 50","id: 4, title: Training Task",50,4
211,2017-05-03 07:38:33.907945+00:00,"[4, 2, 1, 3]",4,0,64,11,75,2,1,3,"[0, 8]",[0],"id: 234, experienced: True, age: 24","id: 4, title: Training Task",24,4
466,2017-05-04 12:47:51.426577+00:00,"[4, 2, 1, 3]",4,0,37,41,78,2,1,3,"[0, 8]",[0],"id: 430, experienced: False, age: 20","id: 4, title: Training Task",20,4
579,2017-05-05 10:45:26.652887+00:00,"[4, 2, 3, 1]",4,0,15,23,38,1,2,3,[0],"[8, 0]","id: 486, experienced: True, age: 42","id: 4, title: Training Task",42,4
