id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
528,2017-05-05 07:39:39.615576+00:00,"[4, 3, 1, 2]",2,3,39,90,129,2,3,5,"[2, 3]","[1, 4, 6]","id: 459, experienced: True, age: 51","id: 2, title: Building geometry and metadata",51,2
386,2017-05-03 20:40:01.817097+00:00,"[4, 1, 2, 3]",3,3,102,107,209,2,3,5,"[10, 14]","[10, 11, 12]","id: 380, experienced: True, age: 38","id: 3, title: Building geometry and metadata",38,3
301,2017-05-03 14:45:17.880014+00:00,"[4, 3, 2, 1]",3,1,113,56,169,2,4,6,"[4, 5]","[1, 2, 3, 5]","id: 292, experienced: True, age: 36","id: 3, title: Building geometry and metadata",36,3
672,2017-05-05 20:13:39.974457+00:00,"[4, 3, 2, 1]",2,2,44,45,89,2,4,6,"[10, 11]","[9, 10, 13, 14]","id: 538, experienced: True, age: 24","id: 2, title: Building geometry and metadata",24,2
619,2017-05-05 12:17:49.539578+00:00,"[4, 1, 3, 2]",2,3,64,41,105,2,4,6,"[12, 14]","[9, 11, 13, 14]","id: 507, experienced: True, age: 22","id: 2, title: Building geometry and metadata",22,2
526,2017-05-05 07:37:11.983314+00:00,"[4, 3, 1, 2]",1,2,38,66,104,2,5,7,"[15, 16]","[15, 16, 17, 18, 20]","id: 459, experienced: True, age: 51","id: 1, title: Building geometry and metadata",51,1
342,2017-05-03 17:48:05.162682+00:00,"[4, 3, 1, 2]",3,1,107,166,273,3,4,7,"[10, 13, 14]","[9, 10, 13, 14]","id: 341, experienced: True, age: 47","id: 3, title: Building geometry and metadata",47,3
323,2017-05-03 16:09:46.255116+00:00,"[4, 3, 2, 1]",3,1,32,21,53,3,4,7,"[2, 3, 6]","[1, 2, 4, 6]","id: 308, experienced: True, age: 24","id: 3, title: Building geometry and metadata",24,3
708,2017-05-07 07:46:39.905579+00:00,"[4, 1, 2, 3]",1,1,327,330,657,3,4,7,"[17, 18, 19]","[17, 18, 19, 20]","id: 556, experienced: True, age: 54","id: 1, title: Building geometry and metadata",54,1
302,2017-05-03 14:47:23.209489+00:00,"[4, 3, 2, 1]",2,2,74,25,99,4,3,7,"[15, 18, 19, 20]","[15, 17, 18]","id: 292, experienced: True, age: 36","id: 2, title: Building geometry and metadata",36,2
710,2017-05-07 08:03:53.039711+00:00,"[4, 1, 2, 3]",3,3,277,186,463,5,2,7,"[2, 3, 4, 5, 6]","[1, 2]","id: 556, experienced: True, age: 54","id: 3, title: Building geometry and metadata",54,3
362,2017-05-03 19:04:05.081724+00:00,"[4, 1, 3, 2]",2,3,96,53,149,4,3,7,"[10, 11, 12, 13]","[11, 12, 14]","id: 355, experienced: True, age: 29","id: 2, title: Building geometry and metadata",29,2
209,2017-05-03 07:21:46.638897+00:00,"[4, 3, 2, 1]",1,3,43,29,72,4,3,7,"[9, 10, 11, 12]","[9, 10, 13]","id: 232, experienced: True, age: 22","id: 1, title: Building geometry and metadata",22,1
274,2017-05-03 12:18:01.639752+00:00,"[4, 2, 3, 1]",2,1,80,36,116,3,4,7,"[10, 11, 14]","[9, 12, 13, 14]","id: 270, experienced: True, age: 27","id: 2, title: Building geometry and metadata",27,2
343,2017-05-03 17:50:31.213552+00:00,"[4, 2, 1, 3]",2,1,103,115,218,3,4,7,"[10, 12, 14]","[9, 10, 13, 14]","id: 340, experienced: True, age: 40","id: 2, title: Building geometry and metadata",40,2
207,2017-05-03 07:20:00.761070+00:00,"[4, 3, 2, 1]",2,2,35,18,53,5,2,7,"[1, 2, 3, 4, 6]","[1, 4]","id: 232, experienced: True, age: 22","id: 2, title: Building geometry and metadata",22,2
238,2017-05-03 09:25:10.264095+00:00,"[4, 1, 2, 3]",3,3,183,75,258,4,3,7,"[3, 4, 5, 6]","[1, 3, 4]","id: 245, experienced: True, age: 42","id: 3, title: Building geometry and metadata",42,3
344,2017-05-03 17:52:24.943530+00:00,"[4, 3, 1, 2]",1,2,83,122,205,5,3,8,"[15, 16, 17, 19, 20]","[17, 18, 20]","id: 341, experienced: True, age: 47","id: 1, title: Building geometry and metadata",47,1
399,2017-05-03 21:16:52.667950+00:00,"[4, 2, 1, 3]",3,3,53,35,88,4,4,8,"[2, 3, 4, 6]","[1, 2, 4, 5]","id: 374, experienced: True, age: 24","id: 3, title: Building geometry and metadata",24,3
524,2017-05-05 07:34:48.459047+00:00,"[4, 3, 1, 2]",3,1,37,63,100,5,3,8,"[9, 10, 11, 12, 13]","[9, 13, 14]","id: 459, experienced: True, age: 51","id: 3, title: Building geometry and metadata",51,3
411,2017-05-04 05:30:17.854450+00:00,"[4, 2, 1, 3]",3,3,95,33,128,2,6,8,"[17, 19]","[15, 16, 17, 18, 19, 20]","id: 402, experienced: True, age: 39","id: 3, title: Building geometry and metadata",39,3
206,2017-05-03 07:18:50.394485+00:00,"[4, 3, 2, 1]",3,1,45,39,84,4,4,8,"[15, 16, 17, 19]","[15, 17, 18, 20]","id: 232, experienced: True, age: 22","id: 3, title: Building geometry and metadata",22,3
511,2017-05-05 06:35:38.727826+00:00,"[4, 3, 1, 2]",2,3,47,59,106,5,3,8,"[10, 11, 12, 13, 14]","[9, 12, 13]","id: 452, experienced: True, age: 38","id: 2, title: Building geometry and metadata",38,2
505,2017-05-05 04:40:20.441645+00:00,"[4, 1, 2, 3]",3,3,66,54,120,5,3,8,"[9, 10, 11, 12, 14]","[9, 11, 13]","id: 450, experienced: True, age: 23","id: 3, title: Building geometry and metadata",23,3
462,2017-05-04 12:02:49.473509+00:00,"[4, 1, 3, 2]",1,1,137,157,294,5,3,8,"[1, 3, 4, 5, 6]","[3, 5, 6]","id: 428, experienced: True, age: 36","id: 1, title: Building geometry and metadata",36,1
709,2017-05-07 07:55:33.668305+00:00,"[4, 1, 2, 3]",2,2,333,159,492,6,2,8,"[9, 10, 11, 12, 13, 14]","[9, 13]","id: 556, experienced: True, age: 54","id: 2, title: Building geometry and metadata",54,2
464,2017-05-04 12:05:20.071040+00:00,"[4, 1, 3, 2]",3,2,68,67,135,5,3,8,"[15, 16, 17, 18, 19]","[17, 18, 20]","id: 428, experienced: True, age: 36","id: 3, title: Building geometry and metadata",36,3
465,2017-05-04 12:08:28.816603+00:00,"[4, 1, 3, 2]",2,3,79,80,159,6,2,8,"[9, 10, 11, 12, 13, 14]","[9, 12]","id: 428, experienced: True, age: 36","id: 2, title: Building geometry and metadata",36,2
811,2017-05-09 08:21:01.577451+00:00,"[4, 2, 3, 1]",3,2,69,47,116,4,4,8,"[2, 3, 4, 5]","[2, 3, 5, 6]","id: 598, experienced: True, age: 44","id: 3, title: Building geometry and metadata",44,3
276,2017-05-03 12:33:40.456952+00:00,"[4, 3, 2, 1]",3,1,67,56,123,3,5,8,"[11, 12, 14]","[9, 10, 12, 13, 14]","id: 273, experienced: True, age: 31","id: 3, title: Building geometry and metadata",31,3
618,2017-05-05 12:15:43.871048+00:00,"[4, 1, 3, 2]",3,2,73,44,117,4,4,8,"[15, 16, 17, 19]","[15, 18, 19, 20]","id: 507, experienced: True, age: 22","id: 3, title: Building geometry and metadata",22,3
617,2017-05-05 12:13:32.865368+00:00,"[4, 1, 3, 2]",1,1,68,63,131,4,4,8,"[2, 3, 5, 6]","[1, 2, 3, 4]","id: 507, experienced: True, age: 22","id: 1, title: Building geometry and metadata",22,1
287,2017-05-03 13:02:27.144708+00:00,"[4, 3, 1, 2]",1,2,96,79,175,4,4,8,"[3, 4, 5, 6]","[1, 2, 4, 5]","id: 277, experienced: True, age: 34","id: 1, title: Building geometry and metadata",34,1
213,2017-05-03 07:46:14.648972+00:00,"[4, 2, 1, 3]",1,2,106,75,181,5,3,8,"[2, 3, 4, 5, 6]","[2, 3, 4]","id: 234, experienced: True, age: 24","id: 1, title: Building geometry and metadata",24,1
603,2017-05-05 11:01:54.218172+00:00,"[4, 3, 1, 2]",2,3,166,83,249,4,4,8,"[10, 11, 12, 14]","[9, 10, 12, 13]","id: 478, experienced: True, age: 54","id: 2, title: Building geometry and metadata",54,2
809,2017-05-09 08:18:29.450277+00:00,"[4, 2, 3, 1]",2,1,67,89,156,4,4,8,"[15, 16, 17, 19]","[15, 16, 17, 19]","id: 598, experienced: True, age: 44","id: 2, title: Building geometry and metadata",44,2
593,2017-05-05 10:55:51.423639+00:00,"[4, 2, 3, 1]",1,3,75,30,105,4,4,8,"[15, 17, 18, 20]","[16, 18, 19, 20]","id: 476, experienced: True, age: 46","id: 1, title: Building geometry and metadata",46,1
589,2017-05-05 10:53:31.025975+00:00,"[4, 2, 3, 1]",3,2,76,59,135,3,5,8,"[10, 11, 12]","[9, 11, 12, 13, 14]","id: 476, experienced: True, age: 46","id: 3, title: Building geometry and metadata",46,3
585,2017-05-05 10:50:58.739084+00:00,"[4, 2, 3, 1]",2,1,126,60,186,5,3,8,"[1, 2, 3, 5, 6]","[1, 4, 5]","id: 476, experienced: True, age: 46","id: 2, title: Building geometry and metadata",46,2
315,2017-05-03 15:17:16.298134+00:00,"[4, 1, 2, 3]",2,2,90,52,142,4,4,8,"[10, 11, 12, 14]","[9, 12, 13, 14]","id: 298, experienced: True, age: 31","id: 2, title: Building geometry and metadata",31,2
333,2017-05-03 17:29:09.917252+00:00,"[4, 3, 2, 1]",3,1,157,133,290,5,3,8,"[1, 3, 4, 5, 6]","[1, 2, 4]","id: 333, experienced: True, age: 27","id: 3, title: Building geometry and metadata",27,3
563,2017-05-05 10:17:17.719209+00:00,"[4, 1, 2, 3]",2,2,23,29,52,3,5,8,"[10, 11, 12]","[9, 11, 12, 13, 14]","id: 455, experienced: True, age: 41","id: 2, title: Building geometry and metadata",41,2
347,2017-05-03 17:58:42.446365+00:00,"[4, 2, 1, 3]",3,3,150,68,218,5,3,8,"[1, 3, 4, 5, 6]","[1, 3, 4]","id: 340, experienced: True, age: 40","id: 3, title: Building geometry and metadata",40,3
747,2017-05-08 06:29:49.985667+00:00,"[4, 1, 2, 3]",3,3,52,37,89,4,4,8,"[15, 17, 18, 19]","[15, 17, 18, 20]","id: 570, experienced: True, age: 35","id: 3, title: Building geometry and metadata",35,3
743,2017-05-08 06:14:18.425255+00:00,"[4, 1, 2, 3]",1,1,79,389,468,3,5,8,"[10, 11, 12]","[10, 11, 12, 13, 14]","id: 570, experienced: True, age: 35","id: 1, title: Building geometry and metadata",35,1
537,2017-05-05 07:50:37.996845+00:00,"[4, 1, 3, 2]",2,3,125,49,174,5,3,8,"[1, 3, 4, 5, 6]","[1, 3, 4]","id: 462, experienced: True, age: 39","id: 2, title: Building geometry and metadata",39,2
535,2017-05-05 07:47:24.059484+00:00,"[4, 1, 3, 2]",3,2,81,55,136,5,3,8,"[15, 16, 17, 19, 20]","[15, 18, 20]","id: 462, experienced: True, age: 39","id: 3, title: Building geometry and metadata",39,3
804,2017-05-08 22:07:38.431468+00:00,"[4, 1, 3, 2]",3,2,42,49,91,3,5,8,"[11, 12, 14]","[9, 10, 11, 12, 13]","id: 596, experienced: True, age: 33","id: 3, title: Building geometry and metadata",33,3
