id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
349,2017-05-03 18:32:28.797893+00:00,"[4, 3, 2, 1]",4,0,13,12,25,2,2,4,"[0, 8]","[8, 0]","id: 350, experienced: True, age: 34","id: 4, title: Training Task",34,4
156,2017-05-02 09:09:49.551875+00:00,"[4, 1, 3, 2]",4,0,22,8,30,2,2,4,"[0, 8]","[8, 0]","id: 208, experienced: True, age: 25","id: 4, title: Training Task",25,4
203,2017-05-03 07:15:30.362279+00:00,"[4, 2, 1, 3]",4,0,12,19,31,2,2,4,"[0, 8]","[8, 0]","id: 230, experienced: True, age: 29","id: 4, title: Training Task",29,4
802,2017-05-08 22:03:49.013388+00:00,"[4, 1, 3, 2]",4,0,15,17,32,1,2,3,[0],"[8, 0]","id: 596, experienced: True, age: 33","id: 4, title: Training Task",33,4
715,2017-05-07 14:11:21.394037+00:00,"[4, 3, 2, 1]",4,0,23,10,33,2,2,4,"[0, 8]","[8, 0]","id: 560, experienced: True, age: 22","id: 4, title: Training Task",22,4
279,2017-05-03 12:51:59.376494+00:00,"[4, 2, 1, 3]",4,0,19,17,36,2,2,4,"[0, 8]","[8, 0]","id: 276, experienced: True, age: 31","id: 4, title: Training Task",31,4
475,2017-05-04 13:40:57.221524+00:00,"[4, 3, 2, 1]",4,0,23,14,37,2,2,4,"[0, 8]","[8, 0]","id: 436, experienced: True, age: 22","id: 4, title: Training Task",22,4
300,2017-05-03 14:41:56.577025+00:00,"[4, 3, 2, 1]",4,0,28,10,38,2,2,4,"[0, 8]","[8, 0]","id: 292, experienced: True, age: 36","id: 4, title: Training Task",36,4
579,2017-05-05 10:45:26.652887+00:00,"[4, 2, 3, 1]",4,0,15,23,38,1,2,3,[0],"[8, 0]","id: 486, experienced: True, age: 42","id: 4, title: Training Task",42,4
494,2017-05-04 20:11:11.537078+00:00,"[4, 1, 2, 3]",4,0,20,18,38,2,2,4,"[0, 8]","[8, 0]","id: 447, experienced: True, age: 23","id: 4, title: Training Task",23,4
264,2017-05-03 11:30:31.355263+00:00,"[4, 3, 1, 2]",4,0,31,10,41,2,2,4,"[0, 8]","[8, 0]","id: 265, experienced: True, age: 49","id: 4, title: Training Task",49,4
184,2017-05-02 10:45:06.325511+00:00,"[4, 3, 2, 1]",4,0,24,19,43,2,2,4,"[0, 8]","[8, 0]","id: 225, experienced: True, age: 25","id: 4, title: Training Task",25,4
204,2017-05-03 07:17:13.520044+00:00,"[4, 3, 2, 1]",4,0,13,31,44,2,2,4,"[0, 8]","[8, 0]","id: 232, experienced: True, age: 22","id: 4, title: Training Task",22,4
565,2017-05-05 10:18:13.806053+00:00,"[4, 1, 2, 3]",3,3,26,18,44,4,5,9,"[15, 16, 19, 20]","[15, 17, 18, 19, 20]","id: 455, experienced: True, age: 41","id: 3, title: Building geometry and metadata",41,3
685,2017-05-06 10:14:40.196493+00:00,"[4, 2, 1, 3]",4,0,28,16,44,2,2,4,"[0, 8]","[8, 0]","id: 548, experienced: True, age: 22","id: 4, title: Training Task",22,4
306,2017-05-03 15:07:28.355149+00:00,"[4, 3, 1, 2]",4,0,28,17,45,2,2,4,"[0, 8]","[8, 0]","id: 296, experienced: True, age: 43","id: 4, title: Training Task",43,4
681,2017-05-06 10:00:42.438318+00:00,"[4, 1, 2, 3]",4,0,20,28,48,2,2,4,"[0, 8]","[8, 0]","id: 547, experienced: True, age: 24","id: 4, title: Training Task",24,4
539,2017-05-05 08:02:06.850090+00:00,"[4, 1, 2, 3]",4,0,10,39,49,2,2,4,"[0, 8]","[8, 0]","id: 467, experienced: True, age: 35","id: 4, title: Training Task",35,4
538,2017-05-05 08:01:36.713050+00:00,"[4, 3, 1, 2]",4,0,24,25,49,2,2,4,"[0, 8]","[8, 0]","id: 465, experienced: True, age: 44","id: 4, title: Training Task",44,4
458,2017-05-04 11:53:18.589215+00:00,"[4, 1, 2, 3]",4,0,17,32,49,2,2,4,"[0, 8]","[8, 0]","id: 427, experienced: True, age: 22","id: 4, title: Training Task",22,4
268,2017-05-03 11:38:04.945128+00:00,"[4, 1, 2, 3]",4,0,15,34,49,0,2,2,[],"[8, 0]","id: 268, experienced: True, age: 28","id: 4, title: Training Task",28,4
383,2017-05-03 20:27:21.373810+00:00,"[4, 1, 2, 3]",4,0,18,32,50,1,1,2,[8],[0],"id: 380, experienced: True, age: 38","id: 4, title: Training Task",38,4
557,2017-05-05 10:09:54.436628+00:00,"[4, 1, 2, 3]",4,0,34,16,50,2,2,4,"[0, 8]","[8, 0]","id: 473, experienced: True, age: 24","id: 4, title: Training Task",24,4
282,2017-05-03 12:55:11.069946+00:00,"[4, 3, 1, 2]",4,0,29,22,51,2,1,3,"[0, 8]",[0],"id: 277, experienced: True, age: 34","id: 4, title: Training Task",34,4
243,2017-05-03 10:09:06.059581+00:00,"[4, 3, 2, 1]",4,0,42,9,51,1,2,3,[0],"[8, 0]","id: 250, experienced: True, age: 23","id: 4, title: Training Task",23,4
412,2017-05-04 06:51:42.487493+00:00,"[4, 3, 1, 2]",4,0,27,25,52,2,2,4,"[0, 8]","[8, 0]","id: 406, experienced: True, age: 34","id: 4, title: Training Task",34,4
563,2017-05-05 10:17:17.719209+00:00,"[4, 1, 2, 3]",2,2,23,29,52,3,5,8,"[10, 11, 12]","[9, 11, 12, 13, 14]","id: 455, experienced: True, age: 41","id: 2, title: Building geometry and metadata",41,2
