id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
191,2017-05-02 11:17:44.105157+00:00,"[4, 1, 2, 3]",4,0,11,14,25,2,2,4,"[0, 8]","[8, 0]","id: 226, experienced: False, age: 24","id: 4, title: Training Task",24,4
596,2017-05-05 10:57:08.420980+00:00,"[4, 1, 2, 3]",4,0,15,11,26,2,2,4,"[0, 8]","[8, 0]","id: 493, experienced: False, age: 53","id: 4, title: Training Task",53,4
785,2017-05-08 11:51:34.623564+00:00,"[4, 1, 3, 2]",2,3,13,13,26,1,5,6,[10],"[9, 10, 12, 13, 14]","id: 575, experienced: False, age: 21","id: 2, title: Building geometry and metadata",21,2
442,2017-05-04 10:09:56.336860+00:00,"[4, 3, 1, 2]",4,0,16,15,31,1,2,3,[8],"[8, 0]","id: 421, experienced: False, age: 22","id: 4, title: Training Task",22,4
396,2017-05-03 21:13:26.875029+00:00,"[4, 3, 2, 1]",4,0,18,13,31,2,2,4,"[0, 8]","[8, 0]","id: 389, experienced: False, age: 27","id: 4, title: Training Task",27,4
165,2017-05-02 09:43:08.410515+00:00,"[4, 1, 3, 2]",4,0,25,8,33,2,2,4,"[0, 8]","[8, 0]","id: 215, experienced: False, age: 25","id: 4, title: Training Task",25,4
643,2017-05-05 13:54:06.108683+00:00,"[4, 3, 1, 2]",4,0,24,10,34,2,2,4,"[0, 8]","[8, 0]","id: 521, experienced: False, age: 21","id: 4, title: Training Task",21,4
571,2017-05-05 10:31:23.738558+00:00,"[4, 3, 2, 1]",3,1,27,11,38,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 477, experienced: False, age: 24","id: 3, title: Building geometry and metadata",24,3
569,2017-05-05 10:30:30.864622+00:00,"[4, 3, 2, 1]",4,0,10,31,41,2,2,4,"[0, 8]","[8, 0]","id: 477, experienced: False, age: 24","id: 4, title: Training Task",24,4
484,2017-05-04 15:48:29.586266+00:00,"[4, 1, 3, 2]",4,0,12,30,42,2,2,4,"[0, 8]","[8, 0]","id: 442, experienced: False, age: 24","id: 4, title: Training Task",24,4
