id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
587,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:33:49.604590+00:00",1,24,False,47,9
370,1,True,False,b'',"id: 350, experienced: True, age: 34","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 18:38:23.543983+00:00",1,34,True,57,12
409,2,True,False,b'',"id: 308, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 21:10:23.597258+00:00",1,24,True,68,10
689,1,True,False,b'',"id: 542, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-06 06:57:00.725260+00:00",1,22,False,68,5
229,1,True,False,b'',"id: 232, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 07:21:46.638897+00:00",1,22,True,72,7
700,1,True,False,b'',"id: 548, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-06 10:19:04.700384+00:00",1,22,True,74,10
647,1,True,False,b'',"id: 516, experienced: False, age: 45","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 13:18:58.198327+00:00",1,45,False,77,11
638,1,True,False,b'',"id: 513, experienced: False, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 12:54:24.011337+00:00",1,25,False,78,9
814,3,True,False,b'',"id: 596, experienced: True, age: 33","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 22:05:51.272591+00:00",1,33,True,79,9
209,2,True,False,b'',"id: 225, experienced: True, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 10:51:34.949623+00:00",1,25,True,79,12
461,2,True,False,b'',"id: 420, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 10:13:58.524574+00:00",1,22,False,86,7
298,1,True,False,b'',"id: 273, experienced: True, age: 31","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 12:37:45.100272+00:00",1,31,True,87,11
726,2,False,False,b'',"id: 559, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-07 11:43:08.927215+00:00",1,22,False,91,10
685,2,True,False,b'',"id: 538, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 20:15:44.238226+00:00",1,24,True,91,10
212,1,True,False,b'',"id: 226, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 11:19:54.909790+00:00",1,24,False,92,11
531,1,True,False,b'',"id: 454, experienced: True, age: 40","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 06:48:22.965911+00:00",1,40,True,93,10
677,1,True,False,b'',"id: 536, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 19:23:07.092753+00:00",1,22,False,98,11
187,3,True,False,b'',"id: 210, experienced: False, age: 23","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 09:44:45.120381+00:00",1,23,False,99,10
329,2,True,False,b'',"id: 296, experienced: True, age: 43","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 15:12:45.750397+00:00",1,43,True,99,12
195,4,True,False,b'',"id: 220, experienced: False, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 09:57:52.816335+00:00",1,25,False,100,9
804,1,True,False,b'',"id: 592, experienced: True, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 14:20:03.736344+00:00",1,25,True,101,12
515,4,True,False,b'',"id: 448, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 21:52:51.797734+00:00",1,22,True,102,10
460,2,True,False,b'',"id: 421, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 10:13:53.435131+00:00",1,22,False,103,9
