id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
180,2017-05-02 10:26:43.697271+00:00,"[4, 1, 3, 2]",1,1,53,55,108,6,6,12,"[15, 16, 17, 18, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 221, experienced: True, age: 23","id: 1, title: Building geometry and metadata",23,1
189,2017-05-02 10:51:34.949623+00:00,"[4, 3, 2, 1]",1,3,45,34,79,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 225, experienced: True, age: 25","id: 1, title: Building geometry and metadata",25,1
158,2017-05-02 09:13:21.493731+00:00,"[4, 1, 3, 2]",1,1,89,77,166,4,6,10,"[15, 16, 17, 19]","[15, 16, 17, 18, 19, 20]","id: 208, experienced: True, age: 25","id: 1, title: Building geometry and metadata",25,1
208,2017-05-03 07:21:04.123694+00:00,"[4, 2, 1, 3]",1,2,66,44,110,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 230, experienced: True, age: 29","id: 1, title: Building geometry and metadata",29,1
209,2017-05-03 07:21:46.638897+00:00,"[4, 3, 2, 1]",1,3,43,29,72,4,3,7,"[9, 10, 11, 12]","[9, 10, 13]","id: 232, experienced: True, age: 22","id: 1, title: Building geometry and metadata",22,1
213,2017-05-03 07:46:14.648972+00:00,"[4, 2, 1, 3]",1,2,106,75,181,5,3,8,"[2, 3, 4, 5, 6]","[2, 3, 4]","id: 234, experienced: True, age: 24","id: 1, title: Building geometry and metadata",24,1
224,2017-05-03 08:03:22.428498+00:00,"[4, 3, 2, 1]",1,3,71,87,158,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 238, experienced: True, age: 32","id: 1, title: Building geometry and metadata",32,1
226,2017-05-03 08:09:20.505780+00:00,"[4, 2, 3, 1]",1,3,123,56,179,5,4,9,"[15, 16, 17, 18, 19]","[15, 18, 19, 20]","id: 236, experienced: True, age: 25","id: 1, title: Building geometry and metadata",25,1
235,2017-05-03 09:16:54.589291+00:00,"[4, 1, 2, 3]",1,1,104,68,172,5,5,10,"[15, 16, 18, 19, 20]","[15, 17, 18, 19, 20]","id: 245, experienced: True, age: 42","id: 1, title: Building geometry and metadata",42,1
246,2017-05-03 10:18:33.379381+00:00,"[4, 3, 2, 1]",1,3,68,38,106,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 250, experienced: True, age: 23","id: 1, title: Building geometry and metadata",23,1
250,2017-05-03 10:34:28.639191+00:00,"[4, 1, 3, 2]",1,1,286,90,376,5,6,11,"[9, 10, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 252, experienced: True, age: 24","id: 1, title: Building geometry and metadata",24,1
251,2017-05-03 10:38:41.578303+00:00,"[4, 3, 1, 2]",1,2,74,65,139,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 249, experienced: True, age: 23","id: 1, title: Building geometry and metadata",23,1
270,2017-05-03 11:39:25.941442+00:00,"[4, 3, 1, 2]",1,2,92,66,158,5,5,10,"[15, 16, 17, 19, 20]","[15, 16, 18, 19, 20]","id: 265, experienced: True, age: 49","id: 1, title: Building geometry and metadata",49,1
278,2017-05-03 12:37:45.100272+00:00,"[4, 3, 2, 1]",1,3,59,28,87,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 273, experienced: True, age: 31","id: 1, title: Building geometry and metadata",31,1
283,2017-05-03 12:56:11.525835+00:00,"[4, 1, 3, 2]",1,1,76,66,142,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 275, experienced: True, age: 24","id: 1, title: Building geometry and metadata",24,1
287,2017-05-03 13:02:27.144708+00:00,"[4, 3, 1, 2]",1,2,96,79,175,4,4,8,"[3, 4, 5, 6]","[1, 2, 4, 5]","id: 277, experienced: True, age: 34","id: 1, title: Building geometry and metadata",34,1
295,2017-05-03 14:00:08.935767+00:00,"[4, 3, 1, 2]",1,2,94,30,124,6,5,11,"[9, 10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 284, experienced: True, age: 45","id: 1, title: Building geometry and metadata",45,1
298,2017-05-03 14:05:25.302247+00:00,"[4, 2, 3, 1]",1,3,146,49,195,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4]","id: 283, experienced: True, age: 54","id: 1, title: Building geometry and metadata",54,1
311,2017-05-03 15:12:45.750397+00:00,"[4, 3, 1, 2]",1,2,63,36,99,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 296, experienced: True, age: 43","id: 1, title: Building geometry and metadata",43,1
314,2017-05-03 15:14:29.242774+00:00,"[4, 1, 2, 3]",1,1,77,68,145,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 298, experienced: True, age: 31","id: 1, title: Building geometry and metadata",31,1
325,2017-05-03 16:15:45.786793+00:00,"[4, 2, 1, 3]",1,2,163,73,236,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 306, experienced: True, age: 46","id: 1, title: Building geometry and metadata",46,1
338,2017-05-03 17:38:23.118808+00:00,"[4, 3, 2, 1]",1,3,77,105,182,6,5,11,"[15, 16, 17, 18, 19, 20]","[16, 17, 18, 19, 20]","id: 333, experienced: True, age: 27","id: 1, title: Building geometry and metadata",27,1
344,2017-05-03 17:52:24.943530+00:00,"[4, 3, 1, 2]",1,2,83,122,205,5,3,8,"[15, 16, 17, 19, 20]","[17, 18, 20]","id: 341, experienced: True, age: 47","id: 1, title: Building geometry and metadata",47,1
345,2017-05-03 17:54:42.234377+00:00,"[4, 2, 1, 3]",1,2,118,76,194,6,6,12,"[15, 16, 17, 18, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 340, experienced: True, age: 40","id: 1, title: Building geometry and metadata",40,1
353,2017-05-03 18:38:23.543983+00:00,"[4, 3, 2, 1]",1,3,32,25,57,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 350, experienced: True, age: 34","id: 1, title: Building geometry and metadata",34,1
357,2017-05-03 18:47:58.906560+00:00,"[4, 3, 2, 1]",1,3,92,76,168,6,5,11,"[9, 10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 351, experienced: True, age: 40","id: 1, title: Building geometry and metadata",40,1
360,2017-05-03 18:56:11.983939+00:00,"[4, 1, 3, 2]",1,1,93,70,163,6,5,11,"[1, 2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]","id: 355, experienced: True, age: 29","id: 1, title: Building geometry and metadata",29,1
365,2017-05-03 19:09:33.969990+00:00,"[4, 1, 2, 3]",1,1,92,72,164,4,6,10,"[10, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 359, experienced: True, age: 44","id: 1, title: Building geometry and metadata",44,1
368,2017-05-03 19:19:36.121850+00:00,"[4, 3, 2, 1]",1,3,132,52,184,5,5,10,"[15, 16, 17, 18, 19]","[16, 17, 18, 19, 20]","id: 358, experienced: True, age: 23","id: 1, title: Building geometry and metadata",23,1
373,2017-05-03 19:49:19.745620+00:00,"[4, 1, 2, 3]",1,1,75,61,136,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 368, experienced: True, age: 26","id: 1, title: Building geometry and metadata",26,1
380,2017-05-03 20:14:39.945478+00:00,"[4, 1, 3, 2]",1,1,58,76,134,5,4,9,"[15, 16, 17, 18, 19]","[15, 18, 19, 20]","id: 373, experienced: True, age: 36","id: 1, title: Building geometry and metadata",36,1
384,2017-05-03 20:32:01.159165+00:00,"[4, 1, 2, 3]",1,1,189,43,232,4,5,9,"[16, 17, 18, 19]","[15, 16, 17, 18, 19]","id: 380, experienced: True, age: 38","id: 1, title: Building geometry and metadata",38,1
392,2017-05-03 21:10:23.597258+00:00,"[4, 3, 2, 1]",1,3,37,31,68,4,6,10,"[15, 16, 17, 19]","[15, 16, 17, 18, 19, 20]","id: 308, experienced: True, age: 24","id: 1, title: Building geometry and metadata",24,1
397,2017-05-03 21:15:13.494294+00:00,"[4, 2, 1, 3]",1,2,56,68,124,5,5,10,"[15, 16, 17, 18, 19]","[15, 17, 18, 19, 20]","id: 374, experienced: True, age: 24","id: 1, title: Building geometry and metadata",24,1
401,2017-05-03 21:46:47.186550+00:00,"[4, 1, 2, 3]",1,1,425,112,537,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 391, experienced: True, age: 44","id: 1, title: Building geometry and metadata",44,1
410,2017-05-04 05:27:48.933633+00:00,"[4, 2, 1, 3]",1,2,88,45,133,5,6,11,"[1, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 402, experienced: True, age: 39","id: 1, title: Building geometry and metadata",39,1
414,2017-05-04 06:57:21.824464+00:00,"[4, 3, 1, 2]",1,2,95,52,147,4,6,10,"[9, 10, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 406, experienced: True, age: 34","id: 1, title: Building geometry and metadata",34,1
420,2017-05-04 07:21:05.099894+00:00,"[4, 1, 2, 3]",1,1,80,54,134,6,5,11,"[9, 10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 408, experienced: True, age: 37","id: 1, title: Building geometry and metadata",37,1
