id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
720,2,True,False,b'',"id: 556, experienced: True, age: 54","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-07 07:46:39.905579+00:00",1,54,True,657,7
229,1,True,False,b'',"id: 232, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 07:21:46.638897+00:00",1,22,True,72,7
540,3,True,False,b'',"id: 459, experienced: True, age: 51","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 07:37:11.983314+00:00",1,51,True,104,7
629,2,True,False,b'',"id: 507, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 12:13:32.865368+00:00",1,22,True,131,8
605,1,True,False,b'',"id: 476, experienced: True, age: 46","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:55:51.423639+00:00",1,46,True,105,8
233,1,True,False,b'',"id: 234, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 07:46:14.648972+00:00",1,24,True,181,8
755,1,True,False,b'',"id: 570, experienced: True, age: 35","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 06:14:18.425255+00:00",1,35,True,468,8
477,1,True,False,b'',"id: 428, experienced: True, age: 36","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 12:02:49.473509+00:00",1,36,True,294,8
361,1,True,False,b'',"id: 341, experienced: True, age: 47","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 17:52:24.943530+00:00",1,47,True,205,8
504,2,True,False,b'',"id: 443, experienced: True, age: 56","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 16:14:15.061652+00:00",1,56,True,190,9
246,4,True,False,b'',"id: 236, experienced: True, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 08:09:20.505780+00:00",1,25,True,179,9
567,1,True,False,b'',"id: 471, experienced: True, age: 42","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 09:58:51.902544+00:00",1,42,True,107,9
586,1,True,False,b'',"id: 472, experienced: True, age: 34","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:33:40.973103+00:00",1,34,True,246,9
814,3,True,False,b'',"id: 596, experienced: True, age: 33","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 22:05:51.272591+00:00",1,33,True,79,9
671,3,True,False,b'',"id: 534, experienced: True, age: 36","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 18:02:08.657868+00:00",1,36,True,212,9
855,4,True,False,b'',"id: 615, experienced: True, age: 29","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-15 09:16:10.330337+00:00",1,29,True,123,9
397,1,True,False,b'',"id: 373, experienced: True, age: 36","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 20:14:39.945478+00:00",1,36,True,134,9
401,2,True,False,b'',"id: 380, experienced: True, age: 38","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 20:32:01.159165+00:00",1,38,True,232,9
849,2,True,False,b'',"id: 613, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-11 09:53:58.774863+00:00",1,24,True,149,10
517,1,True,False,b'',"id: 450, experienced: True, age: 23","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 04:34:25.298688+00:00",1,23,True,214,10
811,1,True,False,b'',"id: 594, experienced: True, age: 50","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 19:54:19.149492+00:00",1,50,True,158,10
255,1,True,False,b'',"id: 245, experienced: True, age: 42","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 09:16:54.589291+00:00",1,42,True,172,10
515,4,True,False,b'',"id: 448, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 21:52:51.797734+00:00",1,22,True,102,10
382,2,True,False,b'',"id: 359, experienced: True, age: 44","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 19:09:33.969990+00:00",1,44,True,164,10
385,2,True,False,b'',"id: 358, experienced: True, age: 23","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 19:19:36.121850+00:00",1,23,True,184,10
178,2,True,False,b'',"id: 208, experienced: True, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 09:13:21.493731+00:00",1,25,True,166,10
700,1,True,False,b'',"id: 548, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-06 10:19:04.700384+00:00",1,22,True,74,10
