id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
456,2,True,False,b'',"id: 420, experienced: False, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 10:09:24.411908+00:00",2,22,False,167,6
637,1,True,False,b'',"id: 513, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 12:52:28.643281+00:00",2,25,False,77,7
775,4,True,False,b'',"id: 584, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 09:25:40.685539+00:00",2,21,False,63,7
411,3,True,False,b'',"id: 384, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 21:13:15.880896+00:00",2,25,False,159,7
746,1,True,False,b'',"id: 566, experienced: False, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 05:10:12.807494+00:00",2,40,False,151,8
213,1,True,False,b'',"id: 226, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 11:21:25.673254+00:00",2,24,False,74,8
585,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:32:29.805657+00:00",2,24,False,50,8
222,3,True,False,b'',"id: 227, experienced: False, age: 30","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 13:49:39.140250+00:00",2,30,False,97,8
194,3,True,False,b'',"id: 219, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 09:56:48.185404+00:00",2,24,False,135,8
323,2,True,False,b'',"id: 295, experienced: False, age: 50","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 15:07:12.986432+00:00",2,50,False,201,9
336,3,True,False,b'',"id: 303, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 15:44:53.847178+00:00",2,21,False,152,9
347,1,True,False,b'',"id: 313, experienced: False, age: -25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 17:09:21.335853+00:00",2,-25,False,250,9
