id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task
785,2017-05-08 11:51:34.623564+00:00,"[4, 1, 3, 2]",2,3,13,13,26,1,5,6,[10],"[9, 10, 12, 13, 14]","id: 575, experienced: False, age: 21","id: 2, title: Building geometry and metadata"
572,2017-05-05 10:32:29.805657+00:00,"[4, 3, 2, 1]",2,2,37,13,50,4,4,8,"[15, 16, 17, 19]","[15, 18, 19, 20]","id: 477, experienced: False, age: 24","id: 2, title: Building geometry and metadata"
182,2017-05-02 10:30:03.899857+00:00,"[4, 1, 3, 2]",2,3,36,16,52,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 221, experienced: True, age: 23","id: 2, title: Building geometry and metadata"
563,2017-05-05 10:17:17.719209+00:00,"[4, 1, 2, 3]",2,2,23,29,52,3,5,8,"[10, 11, 12]","[9, 11, 12, 13, 14]","id: 455, experienced: True, age: 41","id: 2, title: Building geometry and metadata"
207,2017-05-03 07:20:00.761070+00:00,"[4, 3, 2, 1]",2,2,35,18,53,5,2,7,"[1, 2, 3, 4, 6]","[1, 4]","id: 232, experienced: True, age: 22","id: 2, title: Building geometry and metadata"
764,2017-05-08 09:25:40.685539+00:00,"[4, 1, 2, 3]",2,2,33,30,63,3,4,7,"[15, 17, 19]","[15, 16, 17, 19]","id: 584, experienced: False, age: 21","id: 2, title: Building geometry and metadata"
721,2017-05-07 15:08:03.987431+00:00,"[4, 1, 2, 3]",2,2,52,20,72,5,5,10,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 5]","id: 561, experienced: False, age: 21","id: 2, title: Building geometry and metadata"
193,2017-05-02 11:21:25.673254+00:00,"[4, 1, 2, 3]",2,2,46,28,74,3,5,8,"[10, 11, 12]","[9, 10, 12, 13, 14]","id: 226, experienced: False, age: 24","id: 2, title: Building geometry and metadata"
805,2017-05-08 22:09:31.573486+00:00,"[4, 1, 3, 2]",2,3,46,28,74,4,6,10,"[1, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 596, experienced: True, age: 33","id: 2, title: Building geometry and metadata"
669,2017-05-05 19:57:37.951020+00:00,"[4, 3, 1, 2]",2,3,53,23,76,6,6,12,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 537, experienced: True, age: 33","id: 2, title: Building geometry and metadata"
625,2017-05-05 12:52:28.643281+00:00,"[4, 2, 1, 3]",2,1,41,36,77,2,5,7,"[12, 13]","[9, 10, 12, 13, 14]","id: 513, experienced: False, age: 25","id: 2, title: Building geometry and metadata"
313,2017-05-03 15:14:23.432081+00:00,"[4, 3, 1, 2]",2,3,50,28,78,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 296, experienced: True, age: 43","id: 2, title: Building geometry and metadata"
555,2017-05-05 10:00:29.451699+00:00,"[4, 3, 1, 2]",2,3,55,24,79,6,4,10,"[9, 10, 11, 12, 13, 14]","[9, 10, 12, 13]","id: 471, experienced: True, age: 42","id: 2, title: Building geometry and metadata"
176,2017-05-02 09:59:30.391124+00:00,"[4, 1, 2, 3]",2,2,46,36,82,3,6,9,"[9, 11, 12]","[9, 10, 11, 12, 13, 14]","id: 220, experienced: False, age: 25","id: 2, title: Building geometry and metadata"
447,2017-05-04 10:15:38.621550+00:00,"[4, 3, 1, 2]",2,3,65,23,88,4,6,10,"[15, 16, 17, 19]","[15, 16, 17, 18, 19, 20]","id: 421, experienced: False, age: 22","id: 2, title: Building geometry and metadata"
427,2017-05-04 07:50:04.952192+00:00,"[4, 1, 3, 2]",2,3,46,42,88,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5, 6]","id: 409, experienced: False, age: 34","id: 2, title: Building geometry and metadata"
672,2017-05-05 20:13:39.974457+00:00,"[4, 3, 2, 1]",2,2,44,45,89,2,4,6,"[10, 11]","[9, 10, 13, 14]","id: 538, experienced: True, age: 24","id: 2, title: Building geometry and metadata"
560,2017-05-05 10:14:54.190623+00:00,"[4, 1, 2, 3]",2,2,56,33,89,5,6,11,"[2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 473, experienced: True, age: 24","id: 2, title: Building geometry and metadata"
