id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
340,3,False,False,b'',"id: 308, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 16:09:46.255116+00:00",3,24,True,53,7
230,3,True,False,b'',"id: 230, experienced: True, age: 29","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:22:29.692708+00:00",3,29,True,71,11
701,2,True,False,b'',"id: 548, experienced: True, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 10:20:34.056265+00:00",3,22,True,78,11
226,2,True,False,b'',"id: 232, experienced: True, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:18:50.394485+00:00",3,22,True,84,8
415,3,False,False,b'',"id: 374, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 21:16:52.667950+00:00",3,24,True,88,8
815,4,True,False,b'would be great to be able to center the map on not-yet-processes buildings',"id: 596, experienced: True, age: 33","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 22:07:38.431468+00:00",3,33,True,91,8
201,1,True,False,b'',"id: 221, experienced: True, age: 23","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 10:28:53.756582+00:00",3,23,True,93,10
566,1,True,False,b'',"id: 471, experienced: True, age: 42","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 09:56:27.882450+00:00",3,42,True,98,9
538,3,True,False,b'',"id: 459, experienced: True, age: 51","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 07:34:48.459047+00:00",3,51,True,100,8
179,1,True,False,b'',"id: 208, experienced: True, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 09:15:20.465753+00:00",3,25,True,103,10
394,2,True,False,b'',"id: 368, experienced: True, age: 26","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 19:53:17.985065+00:00",3,26,True,107,10
576,2,True,False,b'',"id: 473, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:17:36.521491+00:00",3,24,True,111,12
367,4,True,False,b'',"id: 350, experienced: True, age: 34","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 18:34:47.689346+00:00",3,34,True,112,10
697,1,True,False,b'',"id: 547, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 10:08:23.480958+00:00",3,24,True,114,10
398,1,True,False,b'',"id: 373, experienced: True, age: 36","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 20:16:49.255207+00:00",3,36,True,115,9
822,4,True,False,b'',"id: 598, experienced: True, age: 44","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-09 08:21:01.577451+00:00",3,44,True,116,8
630,2,True,False,b'',"id: 507, experienced: True, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 12:15:43.871048+00:00",3,22,True,117,8
519,1,True,False,b'',"id: 450, experienced: True, age: 23","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 04:40:20.441645+00:00",3,23,True,120,8
497,4,True,False,b'',"id: 441, experienced: True, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 15:32:42.168928+00:00",3,22,True,121,10
705,1,True,False,b'',"id: 549, experienced: True, age: 23","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 11:09:30.045814+00:00",3,23,True,122,12
296,3,True,False,b'',"id: 273, experienced: True, age: 31","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 12:33:40.456952+00:00",3,31,True,123,8
763,2,True,False,b'',"id: 573, experienced: True, age: 30","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 06:47:23.243297+00:00",3,30,True,126,11
514,4,True,False,b'',"id: 448, experienced: True, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 21:50:33.195212+00:00",3,22,True,127,11
426,4,True,False,b'',"id: 402, experienced: True, age: 39","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 05:30:17.854450+00:00",3,39,True,128,8
803,3,True,False,b'',"id: 592, experienced: True, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 14:17:42.274407+00:00",3,25,True,129,12
479,1,True,False,b'',"id: 428, experienced: True, age: 36","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 12:05:20.071040+00:00",3,36,True,135,8
601,1,True,False,b'',"id: 476, experienced: True, age: 46","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:53:31.025975+00:00",3,46,True,135,8
206,3,True,False,b'',"id: 225, experienced: True, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 10:47:38.432350+00:00",3,25,True,136,11
549,2,True,False,b'',"id: 462, experienced: True, age: 39","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 07:47:24.059484+00:00",3,39,True,136,8
511,1,True,False,b'',"id: 447, experienced: True, age: 23","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 20:22:08.921739+00:00",3,23,True,137,9
581,2,True,False,b'',"id: 474, experienced: True, age: 45","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:28:24.729599+00:00",3,45,True,139,9
428,4,True,False,b'',"id: 406, experienced: True, age: 34","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 06:54:18.455165+00:00",3,34,True,140,9
438,2,True,False,b'',"id: 408, experienced: True, age: 37","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 07:26:01.251471+00:00",3,37,True,144,11
