id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task,participant_age,task_id
186,2017-05-02 10:47:38.432350+00:00,"[4, 3, 2, 1]",3,1,90,46,136,6,5,11,"[15, 16, 17, 18, 19, 20]","[15, 17, 18, 19, 20]","id: 225, experienced: True, age: 25","id: 3, title: Building geometry and metadata",25,3
181,2017-05-02 10:28:53.756582+00:00,"[4, 1, 3, 2]",3,2,47,46,93,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 221, experienced: True, age: 23","id: 3, title: Building geometry and metadata",23,3
159,2017-05-02 09:15:20.465753+00:00,"[4, 1, 3, 2]",3,2,67,36,103,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 208, experienced: True, age: 25","id: 3, title: Building geometry and metadata",25,3
206,2017-05-03 07:18:50.394485+00:00,"[4, 3, 2, 1]",3,1,45,39,84,4,4,8,"[15, 16, 17, 19]","[15, 17, 18, 20]","id: 232, experienced: True, age: 22","id: 3, title: Building geometry and metadata",22,3
210,2017-05-03 07:22:29.692708+00:00,"[4, 2, 1, 3]",3,3,39,32,71,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 230, experienced: True, age: 29","id: 3, title: Building geometry and metadata",29,3
215,2017-05-03 07:49:31.934750+00:00,"[4, 2, 1, 3]",3,3,124,61,185,6,4,10,"[15, 16, 17, 18, 19, 20]","[16, 18, 19, 20]","id: 234, experienced: True, age: 24","id: 3, title: Building geometry and metadata",24,3
219,2017-05-03 07:57:21.551473+00:00,"[4, 3, 2, 1]",3,1,86,93,179,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 238, experienced: True, age: 32","id: 3, title: Building geometry and metadata",32,3
225,2017-05-03 08:05:36.784417+00:00,"[4, 2, 3, 1]",3,2,120,97,217,6,4,10,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 13]","id: 236, experienced: True, age: 25","id: 3, title: Building geometry and metadata",25,3
238,2017-05-03 09:25:10.264095+00:00,"[4, 1, 2, 3]",3,3,183,75,258,4,3,7,"[3, 4, 5, 6]","[1, 3, 4]","id: 245, experienced: True, age: 42","id: 3, title: Building geometry and metadata",42,3
244,2017-05-03 10:13:16.286662+00:00,"[4, 3, 2, 1]",3,1,128,92,220,4,6,10,"[1, 2, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 250, experienced: True, age: 23","id: 3, title: Building geometry and metadata",23,3
249,2017-05-03 10:28:10.886245+00:00,"[4, 3, 1, 2]",3,1,90,112,202,5,5,10,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5]","id: 249, experienced: True, age: 23","id: 3, title: Building geometry and metadata",23,3
252,2017-05-03 10:41:22.223436+00:00,"[4, 1, 3, 2]",3,2,242,129,371,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 252, experienced: True, age: 24","id: 3, title: Building geometry and metadata",24,3
266,2017-05-03 11:33:54.989499+00:00,"[4, 3, 1, 2]",3,1,132,50,182,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 265, experienced: True, age: 49","id: 3, title: Building geometry and metadata",49,3
276,2017-05-03 12:33:40.456952+00:00,"[4, 3, 2, 1]",3,1,67,56,123,3,5,8,"[11, 12, 14]","[9, 10, 12, 13, 14]","id: 273, experienced: True, age: 31","id: 3, title: Building geometry and metadata",31,3
284,2017-05-03 12:58:13.210886+00:00,"[4, 1, 3, 2]",3,2,59,44,103,6,5,11,"[15, 16, 17, 18, 19, 20]","[15, 17, 18, 19, 20]","id: 275, experienced: True, age: 24","id: 3, title: Building geometry and metadata",24,3
285,2017-05-03 12:58:56.018468+00:00,"[4, 3, 1, 2]",3,1,123,74,197,5,5,10,"[10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 277, experienced: True, age: 34","id: 3, title: Building geometry and metadata",34,3
293,2017-05-03 13:57:22.967173+00:00,"[4, 3, 1, 2]",3,1,120,98,218,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 284, experienced: True, age: 45","id: 3, title: Building geometry and metadata",45,3
296,2017-05-03 14:01:27.578499+00:00,"[4, 2, 3, 1]",3,2,190,96,286,6,3,9,"[9, 10, 11, 12, 13, 14]","[9, 13, 14]","id: 283, experienced: True, age: 54","id: 3, title: Building geometry and metadata",54,3
301,2017-05-03 14:45:17.880014+00:00,"[4, 3, 2, 1]",3,1,113,56,169,2,4,6,"[4, 5]","[1, 2, 3, 5]","id: 292, experienced: True, age: 36","id: 3, title: Building geometry and metadata",36,3
307,2017-05-03 15:10:30.784334+00:00,"[4, 3, 1, 2]",3,1,93,64,157,6,6,12,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 296, experienced: True, age: 43","id: 3, title: Building geometry and metadata",43,3
