id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task
571,2017-05-05 10:31:23.738558+00:00,"[4, 3, 2, 1]",3,1,27,11,38,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 477, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
565,2017-05-05 10:18:13.806053+00:00,"[4, 1, 2, 3]",3,3,26,18,44,4,5,9,"[15, 16, 19, 20]","[15, 17, 18, 19, 20]","id: 455, experienced: True, age: 41","id: 3, title: Building geometry and metadata"
722,2017-05-07 15:09:02.655203+00:00,"[4, 1, 2, 3]",3,3,27,19,46,5,4,9,"[10, 11, 12, 13, 14]","[10, 11, 12, 14]","id: 561, experienced: False, age: 21","id: 3, title: Building geometry and metadata"
323,2017-05-03 16:09:46.255116+00:00,"[4, 3, 2, 1]",3,1,32,21,53,3,4,7,"[2, 3, 6]","[1, 2, 4, 6]","id: 308, experienced: True, age: 24","id: 3, title: Building geometry and metadata"
627,2017-05-05 12:55:37.137227+00:00,"[4, 2, 1, 3]",3,3,29,30,59,6,5,11,"[15, 16, 17, 18, 19, 20]","[15, 17, 18, 19, 20]","id: 513, experienced: False, age: 25","id: 3, title: Building geometry and metadata"
210,2017-05-03 07:22:29.692708+00:00,"[4, 2, 1, 3]",3,3,39,32,71,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 230, experienced: True, age: 29","id: 3, title: Building geometry and metadata"
688,2017-05-06 10:20:34.056265+00:00,"[4, 2, 1, 3]",3,3,54,24,78,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 548, experienced: True, age: 22","id: 3, title: Building geometry and metadata"
443,2017-05-04 10:11:33.942502+00:00,"[4, 3, 1, 2]",3,1,45,36,81,4,6,10,"[1, 2, 3, 6]","[1, 2, 3, 4, 5, 6]","id: 421, experienced: False, age: 22","id: 3, title: Building geometry and metadata"
221,2017-05-03 07:59:35.034212+00:00,"[4, 2, 1, 3]",3,3,47,36,83,3,5,8,"[10, 11, 12]","[9, 10, 12, 13, 14]","id: 235, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
178,2017-05-02 10:01:06.055626+00:00,"[4, 1, 2, 3]",3,3,46,38,84,5,6,11,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 220, experienced: False, age: 25","id: 3, title: Building geometry and metadata"
