time,correct,task
57,7,task1
68,7,task1
72,7,task1
74,8,task1
79,8,task1
79,8,task1
87,8,task1
91,8,task1
93,8,task1
99,8,task1
101,9,task1
102,9,task1
103,9,task1
104,9,task1
105,9,task1
106,9,task1
107,9,task1
108,9,task1
110,9,task1
117,10,task1
120,10,task1
124,10,task1
124,10,task1
129,10,task1
130,10,task1
131,10,task1
131,10,task1
133,10,task1
134,10,task1
134,10,task1
136,10,task1
137,10,task1
139,10,task1
140,10,task1
142,10,task1
145,10,task1
147,10,task1
158,10,task1
158,10,task1
158,10,task1
162,11,task1
163,11,task1
164,11,task1
164,11,task1
164,11,task1
166,11,task1
168,11,task1
172,11,task1
175,11,task1
179,11,task1
181,11,task1
182,11,task1
184,11,task1
185,11,task1
186,11,task1
188,11,task1
189,11,task1
190,11,task1
194,11,task1
195,11,task1
200,11,task1
203,11,task1
205,11,task1
212,11,task1
214,11,task1
221,11,task1
232,11,task1
232,11,task1
234,11,task1
236,11,task1
246,12,task1
268,12,task1
282,12,task1
292,12,task1
294,12,task1
295,12,task1
376,12,task1
468,12,task1
537,12,task1
649,12,task1
655,12,task1
657,12,task1
52,5,task2
52,6,task2
53,6,task2
74,7,task2
76,7,task2
78,7,task2
79,7,task2
89,7,task2
89,8,task2
97,8,task2
98,8,task2
99,8,task2
100,8,task2
103,8,task2
105,8,task2
105,8,task2
105,8,task2
106,8,task2
116,9,task2
116,9,task2
116,9,task2
117,9,task2
121,9,task2
123,9,task2
126,9,task2
126,9,task2
129,9,task2
129,9,task2
132,9,task2
133,9,task2
137,9,task2
138,9,task2
138,9,task2
140,9,task2
140,9,task2
142,9,task2
146,9,task2
147,9,task2
148,9,task2
148,10,task2
148,10,task2
149,10,task2
153,10,task2
156,10,task2
156,10,task2
159,10,task2
161,10,task2
161,10,task2
163,10,task2
174,10,task2
176,10,task2
176,10,task2
185,10,task2
185,10,task2
186,11,task2
191,11,task2
193,11,task2
198,11,task2
199,11,task2
200,11,task2
207,11,task2
211,11,task2
213,11,task2
217,11,task2
218,11,task2
220,11,task2
220,11,task2
227,11,task2
229,11,task2
231,11,task2
235,11,task2
236,11,task2
249,11,task2
264,11,task2
266,12,task2
288,12,task2
296,12,task2
306,12,task2
309,12,task2
341,12,task2
351,12,task2
351,12,task2
368,12,task2
416,12,task2
492,12,task2
44,5,task3
53,6,task3
71,7,task3
78,7,task3
84,7,task3
88,7,task3
89,8,task3
91,8,task3
93,8,task3
98,8,task3
100,8,task3
103,8,task3
103,8,task3
107,8,task3
111,8,task3
112,8,task3
114,8,task3
115,8,task3
116,8,task3
117,8,task3
120,8,task3
121,9,task3
122,9,task3
123,9,task3
126,9,task3
127,9,task3
128,9,task3
129,9,task3
135,9,task3
135,9,task3
136,9,task3
136,9,task3
137,9,task3
139,9,task3
140,9,task3
144,9,task3
145,9,task3
150,9,task3
153,10,task3
154,10,task3
157,10,task3
165,10,task3
166,10,task3
168,10,task3
169,10,task3
179,10,task3
182,10,task3
185,10,task3
186,10,task3
186,10,task3
197,10,task3
198,10,task3
200,10,task3
202,10,task3
209,10,task3
215,10,task3
217,10,task3
217,10,task3
218,10,task3
218,10,task3
220,10,task3
239,10,task3
241,11,task3
256,11,task3
258,11,task3
273,11,task3
274,11,task3
282,11,task3
286,11,task3
286,11,task3
286,11,task3
287,11,task3
289,11,task3
290,11,task3
299,11,task3
303,11,task3
346,11,task3
358,12,task3
371,12,task3
380,12,task3
463,12,task3
658,12,task3
752,12,task3
