id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
798,1,True,True,b'',"id: 591, experienced: False, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 13:01:11.514579+00:00",2,40,False,292,10
250,1,True,True,b'',"id: 243, experienced: False, age: 54","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 09:06:22.164257+00:00",3,54,False,350,10
251,1,True,True,b'',"id: 243, experienced: False, age: 54","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 09:11:14.945916+00:00",1,54,False,248,10
254,1,True,True,b'',"id: 243, experienced: False, age: 54","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 09:16:13.243865+00:00",2,54,False,272,11
261,1,True,True,b'',"id: 248, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 09:56:28.072765+00:00",3,24,False,100,10
306,1,True,True,b'',"id: 277, experienced: True, age: 34","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 13:02:27.144708+00:00",1,34,True,175,8
321,1,False,True,b'',"id: 294, experienced: False, age: 25","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-03 14:53:20.161907+00:00",4,25,False,76,2
443,1,True,True,b'',"id: 413, experienced: False, age: 52","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-04 08:54:32.176720+00:00",4,52,False,81,2
445,1,True,True,b'',"id: 413, experienced: False, age: 52","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 09:07:58.316356+00:00",2,52,False,201,9
446,1,True,True,b'',"id: 413, experienced: False, age: 52","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 09:10:46.239646+00:00",3,52,False,154,10
469,1,True,True,b'',"id: 425, experienced: False, age: 53","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 11:37:35.736728+00:00",3,53,False,176,9
471,1,True,True,b'',"id: 425, experienced: False, age: 53","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 11:41:28.649397+00:00",1,53,False,189,9
472,1,True,True,b'',"id: 417, experienced: True, age: 30","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 11:43:15.443653+00:00",2,30,True,8056,9
532,1,True,True,b'',"id: 453, experienced: True, age: 51","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-05 07:08:09.316478+00:00",4,51,True,74,4
534,1,True,True,b'',"id: 453, experienced: True, age: 51","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 07:17:52.525704+00:00",2,51,True,341,9
679,1,True,True,b'',"id: 537, experienced: True, age: 33","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 19:52:15.433360+00:00",3,33,True,287,11
696,1,True,True,b'',"id: 547, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-06 10:06:14.755922+00:00",2,24,True,138,12
703,1,True,True,b'',"id: 549, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-06 11:04:22.875587+00:00",2,23,True,147,11
718,1,True,True,b'',"id: 554, experienced: True, age: 35","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-06 19:02:04.812917+00:00",4,35,True,126,4
757,1,True,True,b'',"id: 570, experienced: True, age: 35","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 06:28:10.347872+00:00",2,35,True,117,11
758,1,True,True,b'',"id: 570, experienced: True, age: 35","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 06:29:49.985667+00:00",3,35,True,89,8
238,1,True,True,b'',"id: 236, experienced: True, age: 25","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-03 07:55:58.036936+00:00",4,25,True,149,4
598,2,True,True,b'',"id: 478, experienced: True, age: 54","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:51:27.798926+00:00",3,54,True,658,10
305,2,True,True,b'',"id: 275, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 13:00:20.031876+00:00",2,24,True,105,9
441,2,True,True,b'',"id: 409, experienced: False, age: 34","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 07:48:20.980368+00:00",3,34,False,107,9
270,2,True,True,b'',"id: 252, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 10:34:28.639191+00:00",1,24,True,376,11
277,2,True,True,b'',"id: 261, experienced: False, age: 24","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-03 11:17:26.080986+00:00",4,24,False,128,3
295,2,True,True,b'',"id: 273, experienced: True, age: 31","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-03 12:31:18.415765+00:00",4,31,True,83,4
302,2,True,True,b'',"id: 275, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 12:56:11.525835+00:00",1,24,True,142,11
303,2,True,True,b'',"id: 275, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 12:58:13.210886+00:00",3,24,True,103,11
491,2,True,True,b'',"id: 436, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 13:47:26.355367+00:00",2,22,True,123,10
455,2,True,True,b'',"id: 420, experienced: False, age: 22","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-04 10:06:11.232394+00:00",4,22,False,79,1
670,2,True,True,b'',"id: 534, experienced: True, age: 36","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-05 17:56:43.575907+00:00",4,36,True,85,4
442,2,True,True,b'',"id: 409, experienced: False, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 07:50:04.952192+00:00",2,34,False,88,11
543,2,True,True,b'',"id: 456, experienced: True, age: 42","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 07:40:01.173398+00:00",1,42,True,655,10
544,2,True,True,b'',"id: 460, experienced: True, age: 36","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 07:41:28.320348+00:00",3,36,True,256,9
547,2,True,True,b'',"id: 460, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 07:45:07.089153+00:00",2,36,True,199,11
244,2,True,True,b'',"id: 238, experienced: True, age: 32","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 08:03:22.428498+00:00",1,32,True,158,11
557,2,True,True,b'',"id: 466, experienced: True, age: 52","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-05 08:14:05.844977+00:00",4,52,True,555,4
421,2,True,True,b'',"id: 399, experienced: False, age: 52","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 22:20:25.795877+00:00",2,52,False,277,7
253,3,True,True,b'',"id: 244, experienced: False, age: 27","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 09:15:45.110363+00:00",2,27,False,755,8
635,3,True,True,b'',"id: 508, experienced: False, age: 58","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 12:36:43.327825+00:00",3,58,False,444,12
450,3,True,True,b'',"id: 415, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 09:23:13.544027+00:00",3,21,False,228,11
742,3,True,True,b'',"id: 563, experienced: True, age: 46","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-07 19:24:01.073895+00:00",1,46,True,4115,12
492,3,True,True,b'',"id: 436, experienced: True, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 13:50:49.964575+00:00",1,22,True,164,11
796,3,False,True,b'',"id: 575, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 11:51:34.623564+00:00",2,21,False,26,6
773,3,False,True,b'',"id: 584, experienced: False, age: 21","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-08 09:19:37.520433+00:00",4,21,False,182,3
580,3,True,True,b'',"id: 474, experienced: True, age: 45","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:25:39.679592+00:00",1,45,True,232,9
592,3,True,True,b'',"id: 484, experienced: False, age: 24","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-05 10:46:47.065999+00:00",4,24,False,167,3
338,3,True,True,b'',"id: 306, experienced: True, age: 46","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-03 16:05:30.753288+00:00",4,46,True,160,4
339,3,False,True,b'',"id: 308, experienced: True, age: 24","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-03 16:08:35.729235+00:00",4,24,True,87,4
405,3,True,True,b'',"id: 384, experienced: False, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 21:06:44.821852+00:00",1,25,False,175,11
420,3,True,True,b'',"id: 399, experienced: False, age: 52","id: 4, title: Training Task","Task: id: 4, title: Training Task, date: 2017-05-03 22:15:03.064439+00:00",4,52,False,259,2
577,4,True,True,b'',"id: 455, experienced: True, age: 41","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:18:13.806053+00:00",3,41,True,44,9
776,4,False,True,b'',"id: 584, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 09:27:40.209411+00:00",3,21,False,107,9
610,4,True,True,b'',"id: 484, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:58:11.230643+00:00",3,24,False,198,7
561,4,True,True,b'Del 2 var vanskelig.',"id: 466, experienced: True, age: 52","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 08:28:03.608795+00:00",3,52,True,752,10
