id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect,taskresult_geomtime,taskresult_metatime,taskresult_geomcorrect,taskresult_metacorrect
584,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:31:23.738558+00:00",3,24,False,38,11,27,11,6,5
585,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:32:29.805657+00:00",2,24,False,50,8,37,13,4,4
689,1,True,False,b'',"id: 542, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-06 06:57:00.725260+00:00",1,22,False,68,5,54,14,2,3
202,1,True,False,b'',"id: 221, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 10:30:03.899857+00:00",2,23,True,52,12,36,16,6,6
227,1,True,False,b'',"id: 232, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 07:20:00.761070+00:00",2,22,True,53,7,35,18,5,2
734,4,False,False,b'',"id: 561, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-07 15:09:02.655203+00:00",3,21,False,46,9,27,19,5,4
733,3,True,False,b'',"id: 561, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-07 15:08:03.987431+00:00",2,21,False,72,10,52,20,5,5
340,3,False,False,b'',"id: 308, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 16:09:46.255116+00:00",3,24,True,53,7,32,21,3,4
587,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:33:49.604590+00:00",1,24,False,47,9,25,22,4,5
681,1,True,False,b'',"id: 537, experienced: True, age: 33","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 19:57:37.951020+00:00",2,33,True,76,12,53,23,6,6
466,2,True,False,b'',"id: 418, experienced: False, age: 32","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 11:30:02.544495+00:00",2,32,False,91,12,68,23,6,6
462,1,True,False,b'',"id: 421, experienced: False, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 10:15:38.621550+00:00",2,22,False,88,10,65,23,4,6
568,2,True,False,b'Vanskelig \xe5 se husets form i flyfotoene.',"id: 471, experienced: True, age: 42","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:00:29.451699+00:00",2,42,True,79,10,55,24,6,4
701,2,True,False,b'',"id: 548, experienced: True, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 10:20:34.056265+00:00",3,22,True,78,11,54,24,6,5
677,1,True,False,b'',"id: 536, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 19:23:07.092753+00:00",1,22,False,98,11,73,25,5,6
320,3,True,False,b'',"id: 292, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 14:47:23.209489+00:00",2,36,True,99,7,74,25,4,3
370,1,True,False,b'',"id: 350, experienced: True, age: 34","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 18:38:23.543983+00:00",1,34,True,57,12,32,25,6,6
697,1,True,False,b'',"id: 547, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 10:08:23.480958+00:00",3,24,True,114,10,89,25,4,6
660,1,True,False,b'',"id: 521, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 14:06:43.866089+00:00",2,21,False,92,11,67,25,5,6
795,4,False,False,b'',"id: 575, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 11:50:50.450618+00:00",3,21,False,95,7,70,25,2,5
262,2,True,False,b'',"id: 248, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 09:58:44.995943+00:00",1,24,False,106,11,80,26,5,6
394,2,True,False,b'',"id: 368, experienced: True, age: 26","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 19:53:17.985065+00:00",3,26,True,107,10,81,26,4,6
