id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
750,4,True,False,b'',"id: 569, experienced: False, age: 47","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 05:58:49.121903+00:00",3,47,False,192,4
689,1,True,False,b'',"id: 542, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-06 06:57:00.725260+00:00",1,22,False,68,5
752,4,True,False,b'',"id: 569, experienced: False, age: 47","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 06:04:00.269934+00:00",1,47,False,113,6
456,2,True,False,b'',"id: 420, experienced: False, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 10:09:24.411908+00:00",2,22,False,167,6
795,4,False,False,b'',"id: 575, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 11:50:50.450618+00:00",3,21,False,95,7
240,3,True,False,b'',"id: 235, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 07:57:55.158594+00:00",1,24,False,115,7
411,3,True,False,b'',"id: 384, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 21:13:15.880896+00:00",2,25,False,159,7
645,2,True,False,b'',"id: 516, experienced: False, age: 45","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 13:15:17.494697+00:00",3,45,False,107,7
637,1,True,False,b'',"id: 513, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 12:52:28.643281+00:00",2,25,False,77,7
627,3,True,False,b'',"id: 506, experienced: False, age: 27","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 12:10:01.160022+00:00",3,27,False,171,7
783,3,True,False,b'',"id: 588, experienced: False, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 10:23:18.564586+00:00",3,25,False,225,7
775,4,True,False,b'',"id: 584, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 09:25:40.685539+00:00",2,21,False,63,7
291,3,True,False,b'',"id: 264, experienced: False, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 11:41:20.381027+00:00",3,25,False,129,7
461,2,True,False,b'',"id: 420, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 10:13:58.524574+00:00",1,22,False,86,7
221,4,True,False,b'',"id: 227, experienced: False, age: 30","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 13:47:44.183761+00:00",3,30,False,134,7
241,4,True,False,b'',"id: 235, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:59:35.034212+00:00",3,24,False,83,8
184,4,True,False,b'',"id: 210, experienced: False, age: 23","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 09:42:18.929792+00:00",3,23,False,141,8
625,3,True,False,b'',"id: 506, experienced: False, age: 27","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 12:03:59.158559+00:00",1,27,False,131,8
585,1,True,False,b'',"id: 477, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:32:29.805657+00:00",2,24,False,50,8
280,3,True,False,"b'experienced some diffculties with internet connection, map was rather blurry'","id: 261, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 11:25:22.963824+00:00",3,24,False,171,8
459,2,True,False,b'',"id: 420, experienced: False, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 10:11:54.615857+00:00",3,22,False,126,8
774,3,True,False,b'',"id: 584, experienced: False, age: 21","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 09:24:19.463293+00:00",1,21,False,159,8
449,1,True,False,b'',"id: 415, experienced: False, age: 21","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 09:19:05.905403+00:00",1,21,False,156,8
432,2,True,False,b'',"id: 407, experienced: False, age: 26","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 07:18:05.898450+00:00",3,26,False,224,8
746,1,True,False,b'',"id: 566, experienced: False, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 05:10:12.807494+00:00",2,40,False,151,8
715,4,True,False,b'',"id: 552, experienced: False, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-06 16:55:04.616483+00:00",1,25,False,240,8
348,1,True,False,b'',"id: 313, experienced: False, age: -25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 17:13:36.752400+00:00",3,-25,False,228,8
408,4,True,False,b'',"id: 384, experienced: False, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 21:10:18.108405+00:00",3,25,False,194,8
194,3,True,False,b'',"id: 219, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 09:56:48.185404+00:00",2,24,False,135,8
213,1,True,False,b'',"id: 226, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 11:21:25.673254+00:00",2,24,False,74,8
840,2,True,False,b'',"id: 604, experienced: False, age: 44","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-10 07:53:26.350567+00:00",3,44,False,148,8
693,2,True,False,b'',"id: 543, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 08:15:22.645484+00:00",3,21,False,101,8
779,2,True,False,b'',"id: 586, experienced: False, age: 20","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 10:16:53.010693+00:00",1,20,False,115,8
222,3,True,False,b'',"id: 227, experienced: False, age: 30","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 13:49:39.140250+00:00",2,30,False,97,8
354,2,True,False,b'',"id: 337, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 17:37:10.536813+00:00",2,24,False,98,9
196,3,True,False,b'',"id: 220, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 09:59:30.391124+00:00",2,25,False,82,9
210,4,True,False,"b'Igjen; jeg har tatt veranda som del av bygning, men denne er ikke alltid med p\xe5 en av de to figurene...'","id: 224, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 10:52:36.710595+00:00",1,24,False,164,9
214,1,True,False,b'',"id: 226, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 11:23:09.594181+00:00",3,24,False,92,9
195,4,True,False,b'',"id: 220, experienced: False, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 09:57:52.816335+00:00",1,25,False,100,9
207,5,True,False,b'Skal veranda v\xe6re med..? G\xe5r det som del av shape of building? Uklart...',"id: 224, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 10:48:54.633157+00:00",3,24,False,124,9
217,2,True,False,b'',"id: 209, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 11:52:56.103682+00:00",2,24,False,157,9
220,3,True,False,b'',"id: 227, experienced: False, age: 30","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 13:45:14.736471+00:00",1,30,False,142,9
249,3,True,False,b'',"id: 244, experienced: False, age: 27","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 09:02:49.019616+00:00",3,27,False,322,9
281,2,True,False,b'',"id: 263, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 11:26:01.143652+00:00",2,24,False,192,9
287,3,True,False,b'',"id: 264, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 11:36:28.463463+00:00",2,25,False,158,9
323,2,True,False,b'',"id: 295, experienced: False, age: 50","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 15:07:12.986432+00:00",2,50,False,201,9
330,2,True,False,b'',"id: 295, experienced: False, age: 50","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 15:13:34.562605+00:00",1,50,False,137,9
335,3,True,False,b'',"id: 303, experienced: False, age: 21","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 15:41:59.165035+00:00",3,21,False,209,9
336,3,True,False,b'',"id: 303, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 15:44:53.847178+00:00",2,21,False,152,9
346,1,True,False,b'',"id: 313, experienced: False, age: -25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 17:04:30.532611+00:00",1,-25,False,272,9
347,1,True,False,b'',"id: 313, experienced: False, age: -25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 17:09:21.335853+00:00",2,-25,False,250,9
356,3,True,False,b'',"id: 337, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 17:39:40.574868+00:00",1,24,False,108,9
434,2,True,False,b'',"id: 407, experienced: False, age: 26","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 07:20:34.600055+00:00",2,26,False,130,9
444,1,True,False,b'',"id: 413, experienced: False, age: 52","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 09:04:07.439341+00:00",1,52,False,487,9
448,2,True,False,b'',"id: 415, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 09:15:47.914144+00:00",2,21,False,266,9
460,2,True,False,b'',"id: 421, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 10:13:53.435131+00:00",1,22,False,103,9
465,3,True,False,b'',"id: 418, experienced: False, age: 32","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 11:28:11.745690+00:00",3,32,False,87,9
488,1,True,False,b'',"id: 431, experienced: False, age: 21","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 12:59:38.405005+00:00",1,21,False,155,9
